Matricula,Dominio,Dependencia,TipoVehiculo,Marca,Modelo,Color,NumeroChasis,NumeroMotor,Año,TipoCombustible,CapacidadTanque,RelacionConsumo,LimiteLitros,RetiraDni,RetiraNombre,Estado,DireccionGral,DireccionGralId
10122,GK001RL,JEFATURA,CAMIÓN,TOYOTA,5214,NEGRO,4803632704,03701845,2017,Diesel,196,3.85,326.13,31454862,OPERADOR_122,En Servicio,,15
10123,UE983CM,SUBJEFATURA CAPITAL,MOTOCICLETA,CHEVROLET,8667,BLANCO,4322209894,98842841,2024,Gasolina,13,32.55,485.16,88086992,OPERADOR_123,En Servicio,,12
10124,YL095AU,BRIGADA CIVIL,MOTOCICLETA,FORD,0550,BLANCO,3200045621,40492237,2020,Gasolina,15,31.17,337.45,69645852,OPERADOR_124,Fuera de Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10125,QO157LS,COMISARIA CAPITAL ZONA 1,PICK-UP,NISSAN,1471,ROJO,6368219693,55856378,2025,Diesel,80,9.49,116.5,45676984,OPERADOR_125,En Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10126,JD791UA,POLICIA CAMINERA,PICK-UP,CHEVROLET,7145,NEGRO,2732181123,32394361,2023,Diesel,79,9.83,198.06,08115158,OPERADOR_126,Baja,DIRECCION GRAL. DE POLICIA CAMINERA,5
10127,YT447YO,COMISARIA CAPITAL ZONA 1,PICK-UP,TOYOTA,0037,AZUL,0005842588,47412392,2015,Gasolina,74,8.22,231.59,4612 3172,OPERADOR_127,,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10128,ZQ114LF,COMISARIA CAPITAL ZONA 1,PICK-UP,FORD,9706,AZUL,2350769019,11961980,2017,Gasolina,73,8.27,350.93,50975819,OPERADOR_128,Baja,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10129,BK452WB,BRIGADA CIVIL,MOTOCICLETA,RENAULT,6476,BLANCO,3803284395,56037636,2022,Gasolina,14,32.35,390.55,23746625,OPERADOR_129,Baja,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10130,NA407KD,BRIGADA CIVIL,MOTOCICLETA,RENAULT,3045,ROJO,0183232562,16965640,2020,Gasolina,12,38.98,453.88,89886290,OPERADOR_130,En Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10131,MA275LZ,JEFATURA,CAMIÓN,NISSAN,7752,GRIS,2600976743,41994160,2018,Diesel,148,3.51,383.95,86788975,OPERADOR_131,Baja,,15
10132,FL154QS,POLICIA CAMINERA,MOTOCICLETA,CHEVROLET,0928,GRIS,4190370902,17877259,2017,Gasolina,17,28.96,125.51,18877207,OPERADOR_132,Baja,DIRECCION GRAL. DE POLICIA CAMINERA,5
10154,UA879TD,BRIGADA CIVIL,PICK-UP,NISSAN,1290,AZUL,5291610968,61405032,2018,Diesel,78,9.26,192.23,02378928,OPERADOR_133,Fuera de Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10134,AR647EE,COMISARIA CAPITAL ZONA 1,MOTOCICLETA,RENAULT,9968,GRIS,7515996720,83964957,2019,Gasolina,12,30.8,167.8,23450545,OPERADOR_134,En Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10135,BO829WO,BRIGADA CIVIL,CAMIÓN,TOYOTA,7667,GRIS,0233267264,03660145,2019,Diesel,153,2.75,336.75,12214349,OPERADOR_135,Fuera de Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10136,QP457SN,BRIGADA CIVIL,PICK-UP,FORD,0582,BLANCO,9379092427,32394506,2024,Diesel,67,10.14,187.84,04446934,OPERADOR_136,Baja,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10137,IL325NZ,PATRULLA RURAL NORTE,MOTOCICLETA,CHEVROLET,6210,NEGRO,0455496999,88300466,2018,Gasolina,16,38.21,414.12,08475939,OPERADOR_137,En Servicio,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10138,FQ742ME,PATRULLA RURAL NORTE,SEDAN,RENAULT,0800,NEGRO,6490283107,05324074,2023,Gasolina,97,13.72,150.15,63361991,OPERADOR_138,Baja,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10139,TO829XP,POLICIA CAMINERA,MOTOCICLETA,NISSAN,1943,AZUL,5803805433,47620617,2018,Gasolina,12,35.64,383.68,02510542,OPERADOR_139,Fuera de Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10140,MH554ZN,BRIGADA CIVIL,PICK-UP,RENAULT,7336,GRIS,5855698920,36073126,2021,Diesel,74,7.61,233.04,06991175,OPERADOR_140,En Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10141,MV247XH,SUBJEFATURA CAPITAL,SEDAN,TOYOTA,3627,NEGRO,7277780947,80624334,2015,GNC,108,13.31,446.92,53494484,OPERADOR_141,Baja,,12
10142,OB178DQ,SUBJEFATURA CAPITAL,MOTOCICLETA,CHEVROLET,8090,BLANCO,3521850539,88146489,2015,Gasolina,13,39.47,374.46,71607885,OPERADOR_142,Baja,,12
10143,OX249DC,PATRULLA RURAL NORTE,PICK-UP,NISSAN,4072,AZUL,0407009381,33350025,2016,Gasolina,74,7.71,283.43,89041315,OPERADOR_143,Baja,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10144,TK 497DL,POLICIA CAMINERA,CAMIÓN,FORD,5091,NEGRO,4320646287,33115183,2020,Diesel,183,3.46,285.9,55621018,OPERADOR_144,En Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10145,KE417QG,BRIGADA CIVIL,CAMIÓN,RENAULT,6889,ROJO,1196477951,26737669,2023,Diesel,145,2.51,396.23,83769801,OPERADOR_145,Fuera de Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10146,SP773UL,COMISARIA CAPITAL ZONA 1,MOTOCICLETA,CHEVROLET,9467,ROJO,3958891762,86715950,2017,Gasolina,14,31.04,430.11,00535638,OPERADOR_146,Baja,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10147,TD929VR,PATRULLA RURAL NORTE,MOTOCICLETA,RENAULT,7837,NEGRO,3732671693,88731180,2024,Gasolina,13,38.74,401.47,22094313,OPERADOR_147,Fuera de Servicio,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10148,IQ064YI,POLICIA CAMINERA,PICK-UP,FORD,5831,GRIS,4212335913,78166066,2025,Diesel,163,7.33,151.48,14881125,OPERADOR_148,Fuera de Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10149,YH797TU,COMISARIA CAPITAL ZONA 1,MOTOCICLETA,NISSAN,0980,NEGRO,0389552301,08658683,2016,Gasolina,14,36.42,463.12,12152811,OPERADOR_149,Fuera de Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10150,LP715SJ,BRIGADA CIVIL,MOTOCICLETA,TOYOTA,6570,NEGRO,2188649967,83385951,2020,Gasolina,13,27.33,480.92,70357791,OPERADOR_150,Baja,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10151,DT878YE,POLICIA CAMINERA,SEDAN,NISSAN,7246,GRIS,3942665113,58686318,2019,Gasolina,55,10.68,115.59,72334623,OPERADOR_151,En Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10152,PW596QL,SUBJEFATURA CAPITAL,SEDAN,TOYOTA,3854,AZUL,4576494171,67798338,2016,GNC,60,11.66,114.1,16119872,OPERADOR_152,En Servicio,,12
10153,ZX814PG,SUBJEFATURA CAPITAL,PICK-UP,FORD,3411,ROJO,3259138270,43295815,2023,Diesel,71,8.38,302.08,78927612,OPERADOR_153,En Servicio,,12
10154,WV618FK,BRIGADA CIVIL,MOTOCICLETA,FORD,8003,ROJO,8046317582,96730051,2020,Gasolina,17,34.13,314.89,87183985,OPERADOR_154,En Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10155,ET016OO,JEFATURA,PICK-UP,TOYOTA,1349,ROJO,7277935713,83421452,2019,Gasolina,65,7.08,134.5,15852801,OPERADOR_155,Fuera de Servicio,,15
10156,UR072ZN,POLICIA CAMINERA,MOTOCICLETA,RENAULT,2338,BLANCO,8754660511,73238379,2021,Gasolina,17,25.86,337.01,06211972,OPERADOR_156,Baja,DIRECCION GRAL. DE POLICIA CAMINERA,5
10157,QR780AV,JEFATURA,MOTOCICLETA,CHEVROLET,4464,BLANCO,3853229909,50267360,2018,Gasolina,18,29.99,391.55,35034277,OPERADOR_157,Baja,,15
10158,OX249DC,PATRULLA RURAL NORTE,SEDAN,FORD,3631,GRIS,3799195167,28732598,2017,Gasolina,58,10.88,358.4,15178858,OPERADOR_158,En Servicio,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10159,XZ888MZ,COMISARIA CAPITAL ZONA 1,SEDAN,TOYOTA,8478,ROJO,9082601146,02187459,2016,Gasolina,49,9.3,434.42,20947180,OPERADOR_159,Baja,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10160,MM686GN,JEFATURA,MOTOCICLETA,NISSAN,0634,GRIS,4506369410,02867977,2017,Gasolina,16,30.12,185.5,59012183,OPERADOR_160,En Servicio,,15
10161,SA199GN,POLICIA CAMINERA,MOTOCICLETA,TOYOTA,4873,BLANCO,3035490785,21325300,2023,Gasolina,18,27.62,283.95,73570024,OPERADOR_161,En Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10162,MR508KL,POLICIA CAMINERA,MOTOCICLETA,RENAULT,9903,BLANCO,7446054805,65878681,2025,Gasolina,15,28.4,158.54,76305005,OPERADOR_162,Baja,DIRECCION GRAL. DE POLICIA CAMINERA,5
10163,MX.687KH,POLICIA CAMINERA,MOTOCICLETA,NISSAN,4293,NEGRO,6079636123,97470823,2025,Gasolina,13,34.62,414.78,06309538,OPERADOR_163,,DIRECCION GRAL. DE POLICIA CAMINERA,5
10164,TP583LI,SUBJEFATURA CAPITAL,SEDAN,NISSAN,1996,AZUL,0831733951,12057113,2018,Gasolina,51,10.75,372.34,43847508,OPERADOR_164,Fuera de Servicio,,12
10165,GN588WC,SUBJEFATURA CAPITAL,MOTOCICLETA,RENAULT,7548,NEGRO,1948532180,78504400,2018,Gasolina,18,37.11,490.1,96150910,OPERADOR_165,Baja,,12
10166,RT668RN,POLICIA CAMINERA,PICK-UP,CHEVROLET,6300,BLANCO,2970228661,47015295,2020,Gasolina,76,8.7,450.55,84752577,OPERADOR_166,En Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10167,ML083ZT,POLICIA CAMINERA,CAMIÓN,FORD,7804,GRIS,6071715481,32794022,2020,Diesel,147,3.6,142.11,62203059,OPERADOR_167,En Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10168,KE 881OU,COMISARIA CAPITAL ZONA 1,SEDAN,FORD,1554,NEGRO,6140648378,60838270,2022,Gasolina,46,11.71,443.53,96589219,OPERADOR_168,En Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10169,HC164HZ,COMISARIA CAPITAL ZONA 1,MOTOCICLETA,RENAULT,4499,AZUL,6317653111,60548486,2024,Gasolina,17,29.15,462.51,04478785,OPERADOR_169,En Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10170,KP271XL,PATRULLA RURAL NORTE,CAMIÓN,CHEVROLET,4495,ROJO,7945001133,63023178,2023,Diesel,126,3.07,433.66,14130567,OPERADOR_170,En Servicio,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10018,GF594ZE,BRIGADA CIVIL,SEDAN,NISSAN,8920,GRIS,2359043115,04451901,2022,GNC,52,10.76,189.77,95550404,OPERADOR_171,Fuera de Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10172,CD686CX,COMISARIA CAPITAL ZONA 1,PICK-UP,RENAULT,6844,NEGRO,4743835970,53147772,2021,Diesel,79,7.33,248.83,36201122,OPERADOR_172,Fuera de Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10173,SIN DOMINIO,SUBJEFATURA CAPITAL,CAMIÓN,RENAULT,2118,NEGRO,7930201637,70786756,2020,Diesel,198,2.76,394.17,84011717,OPERADOR_173,Fuera de Servicio,,12
10174,TO594BL,COMISARIA CAPITAL ZONA 1,SEDAN,CHEVROLET,6598,ROJO,2961792242,26217201,2021,Gasolina,51,13.7,300.7,77394369,OPERADOR_174,Baja,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10175,PB186JN,JEFATURA,CAMIÓN,RENAULT,8219,BLANCO,2627284514,29158797,2025,Diesel,188,3.9,160.04,86864967,OPERADOR_175,Baja,,15
10176,EH131DR,COMISARIA CAPITAL ZONA 1,CAMIÓN,FORD,2254,GRIS,4919595595,54329405,2020,Diesel,126,4.03,324.78,02501112,OPERADOR_176,Fuera de Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10177,EY534WG,COMISARIA CAPITAL ZONA 1,PICK-UP,FORD,9636,NEGRO,4456212975,74614142,2023,Diesel,67,9.94,374.97,21070983,OPERADOR_177,Baja,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10178,S/D,COMISARIA CAPITAL ZONA 1,CAMIÓN,TOYOTA,6308,BLANCO,2676828689,32035187,2017,Diesel,122,2.9,211.63,84204126,OPERADOR_178,Fuera de Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10179,EU.336AR,SUBJEFATURA CAPITAL,PICK-UP,TOYOTA,9803,GRIS,4633959358,99201136,2015,Gasolina,71,10.42,178.34,11745499,OPERADOR_179,Fuera de Servicio,,12
10180,IF642RW,BRIGADA CIVIL,PICK-UP,NISSAN,2674,ROJO,9579909369,57313330,2020,Gasolina,73,7.2,458.26,58149105,OPERADOR_180,Baja,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10181,SIN DOMINIO,COMISARIA CAPITAL ZONA 1,PICK-UP,RENAULT,8251,AZUL,3525246989,36078830,2025,Diesel,73,8.05,255.08,61671240,OPERADOR_181,Fuera de Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10182,QL688QN,JEFATURA,MOTOCICLETA,FORD,4691,ROJO,5950329272,31296899,2022,Gasolina,15,27.35,341.34,67360632,OPERADOR_182,En Servicio,,15
10183,VN385NZ,SUBJEFATURA CAPITAL,CAMIÓN,NISSAN,4134,NEGRO,7109520241,37571483,2023,Diesel,138,2.66,418.03,59097257,OPERADOR_183,En Servicio,,12
10184,MT986QX,COMISARIA CAPITAL ZONA 1,PICK-UP,CHEVROLET,2328,BLANCO,0393392444,58707768,2025,Diesel,80,7.82,186.54,16082234,OPERADOR_184,Baja,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10185,ME.526VH,JEFATURA,SEDAN,TOYOTA,8784,GRIS,6526781604,74208287,2022,Gasolina,52,13.39,299.96,36247653,OPERADOR_185,En Servicio,,15
10186,QS086SV,BRIGADA CIVIL,SEDAN,TOYOTA,6034,BLANCO,7201261398,81223156,2015,Gasolina,54,12.61,195.81,1511 4366,OPERADOR_186,En Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10187,ER669YO,PATRULLA RURAL NORTE,MOTOCICLETA,FORD,5862,BLANCO,7180041934,75369784,2015,Gasolina,12,39.02,173.28,42432499,OPERADOR_187,Fuera de Servicio,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10188,JE198GC,SUBJEFATURA CAPITAL,MOTOCICLETA,TOYOTA,9388,ROJO,5909207137,23113411,2017,Gasolina,14,32.13,127.87,89232327,OPERADOR_188,Baja,,12
10094,FP957KO,SUBJEFATURA CAPITAL,SEDAN,RENAULT,0043,GRIS,3897156692,89113145,2021,Gasolina,57,11.64,132.1,77105697,OPERADOR_189,Fuera de Servicio,,12
10190,S/D,COMISARIA CAPITAL ZONA 1,PICK-UP,RENAULT,5363,GRIS,5930381581,44267273,2018,Gasolina,71,7.74,164.02,76618500,OPERADOR_190,En Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10191,CI865IC,COMISARIA CAPITAL ZONA 1,SEDAN,FORD,6822,NEGRO,4809470770,91433716,2018,Gasolina,46,11.4,229.28,49644798,OPERADOR_191,Fuera de Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10192,JF 239DL,COMISARIA CAPITAL ZONA 1,PICK-UP,TOYOTA,8651,GRIS,9910424085,63661983,2022,Diesel,73,10.76,392.26,11895074,OPERADOR_192,En Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10193,EI703LR,SUBJEFATURA CAPITAL,CAMIÓN,NISSAN,3437,ROJO,4433433352,85834438,2017,Diesel,149,4.23,457.58,87314633,OPERADOR_193,En Servicio,,12
10194,GH201HA,COMISARIA CAPITAL ZONA 1,SEDAN,NISSAN,9477,AZUL,2469568539,73701017,2025,Gasolina,112,9.41,131.94,12483676,OPERADOR_194,Baja,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10195,KL756RC,COMISARIA CAPITAL ZONA 1,PICK-UP,CHEVROLET,9261,ROJO,7366290831,01878490,2025,Diesel,76,9.97,299.12,88378998,OPERADOR_195,Baja,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10196,JF 239DL,JEFATURA,SEDAN,RENAULT,9621,AZUL,4925318974,49112590,2025,GNC,55,9.73,178.41,73347449,OPERADOR_196,En Servicio,,15
10197,EU.336AR,PATRULLA RURAL NORTE,MOTOCICLETA,CHEVROLET,9655,AZUL,1274476220,76311197,2018,Gasolina,13,28.43,445.64,31381253,OPERADOR_197,Baja,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10198,KP228BB,COMISARIA CAPITAL ZONA 1,CAMIÓN,RENAULT,7668,AZUL,4604542883,61202773,2020,Diesel,151,4.04,353.46,94281997,OPERADOR_198,Fuera de Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10199,JH820PX,POLICIA CAMINERA,PICK-UP,NISSAN,7326,AZUL,5481171341,00714628,2016,Gasolina,69,7.87,282.07,14155745,OPERADOR_199,En Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10200,OH096EJ,SUBJEFATURA CAPITAL,MOTOCICLETA,CHEVROLET,8896,NEGRO,5135277996,12228691,2018,Gasolina,18,39.73,210.92,03191564,OPERADOR_200,En Servicio,,12
